experiment,checkpoint_type,split,margin,embedding_dim,P,K,lr_scheduler,weight_decay,auc,eer,same_mean,same_std,diff_mean,diff_std
cnn1d_emb192_m028_P12K5_lr00005,best,val,0.28,192,12,5,,,0.9934971450000002,0.0377,0.7679615020751953,0.13325336575508118,0.00917926337569952,0.25505611300468445
cnn1d_emb192_m02_P12K5_lr00005,best,test,0.2,192,12,5,,,0.9641799000000001,0.0796,0.6844449043273926,0.20214490592479706,0.07406502962112427,0.23565591871738434
cnn1d_emb192_m02_P12K5_lr00005,best,val,0.2,192,12,5,,,0.9948424299999999,0.034499999999999975,0.7518932819366455,0.1372062712907791,0.018536359071731567,0.2255554348230362
cnn1d_emb192_m035_P12K5_lr00005,best,test,0.35,192,12,5,,,0.9673215749999999,0.08360000000000001,0.7117204666137695,0.19439645111560822,0.0666038766503334,0.25967657566070557
cnn1d_emb192_m035_P12K5_lr00005,best,val,0.35,192,12,5,,,0.991871935,0.04490000000000002,0.770806074142456,0.1441609114408493,0.012427091598510742,0.2546842098236084
cnn1d_emb192_m03_P12K5_lr00005,best,test,0.3,192,12,5,,,0.966269765,0.07240000000000002,0.6799195408821106,0.2042669951915741,0.05356934666633606,0.2258092761039734
cnn1d_emb192_m03_P12K5_lr00005,best,val,0.3,192,12,5,,,0.9945732000000002,0.03600000000000002,0.7529428005218506,0.1417425572872162,-0.0028446349315345287,0.22256135940551758
cnn1d_emb192_m04_P12K5_lr00005,best,test,0.4,192,12,5,,,0.96783474,0.07820000000000002,0.6761293411254883,0.20471028983592987,0.03444664925336838,0.23134121298789978
cnn1d_emb192_m04_P12K5_lr00005,best,val,0.4,192,12,5,,,0.9940037400000001,0.03800000000000002,0.7627594470977783,0.1414908915758133,0.013314170762896538,0.2272435575723648
cnn1d_emb192_noise_snr10,best,test,,192,,,,,0.94427028,0.12924999999999998,0.9985876083374023,0.0004570184100884944,0.9970658421516418,0.0009701859671622515
cnn1d_emb192_noise_snr10,best,test_noisy_snr10,,192,,,,,0.857784245,0.2228,0.9983404278755188,0.0005091176717542112,0.9973259568214417,0.0008779270574450493
cnn1d_emb192_noise_snr10,best,test_noisy_snr15,,192,,,,,0.902663535,0.1778,0.9984415173530579,0.00046910083619877696,0.9972205758094788,0.0009197661420330405
cnn1d_emb192_noise_snr10,best,val,,192,,,,,0.964270255,0.10060000000000001,0.9985374808311462,0.0004916679463349283,0.9963613152503967,0.0013333311071619391
cnn1d_emb192_noise_snr10,best,val_noisy_snr15,,192,,,,,0.936344725,0.13570000000000002,0.9984210133552551,0.0005066268495284021,0.9966253042221069,0.0012494319817051291
cnn1d_emb192_noise_snr10,last,test_noisy_snr10,,192,,,,,0.56481298,0.4587,1.0,7.845142846463204e-08,1.0,7.484970865334617e-08
cnn1d_emb192_noise_snr10,last,test_noisy_snr15,,192,,,,,0.5790207249999999,0.44704999999999995,1.0,8.078537661049268e-08,1.0,7.481172303869243e-08
cnn1d_emb192_noise_snr10,last,val_noisy_snr15,,192,,,,,0.63717529,0.4206,1.0,8.034877652107753e-08,1.0,8.333989853781532e-08
cnn1d_emb192_noise_snr15,best,test,,192,,,,,0.95791424,0.1091,0.9977161884307861,0.0008915136568248272,0.9941848516464233,0.0021804003044962883
cnn1d_emb192_noise_snr15,best,test_noisy_snr10,,192,,,,,0.87109203,0.21140000000000003,0.9969656467437744,0.0010512347798794508,0.9947144389152527,0.0018369014142081141
cnn1d_emb192_noise_snr15,best,test_noisy_snr15,,192,,,,,0.919855145,0.15780000000000002,0.9973068237304688,0.000932867347728461,0.9945504069328308,0.001957822823897004
cnn1d_emb192_noise_snr15,best,val,,192,,,,,0.97433995,0.0816,0.9976049065589905,0.0010216191876679659,0.9926607608795166,0.00283395079895854
cnn1d_emb192_noise_snr15,best,val_noisy_snr15,,192,,,,,0.9489194350000001,0.12250000000000003,0.9972597360610962,0.0010588342556729913,0.9932489991188049,0.0026056976057589054
cnn1d_emb192_noise_snr15,last,test_noisy_snr10,,192,,,,,0.6862462899999999,0.3709478604267358,1.0,7.881290997602264e-08,1.0,1.269488478783387e-07
cnn1d_emb192_noise_snr15,last,test_noisy_snr15,,192,,,,,0.7253203749999999,0.3435259680037097,1.0,7.648845468111176e-08,1.0,1.2331720711244998e-07
cnn1d_emb192_noise_snr15,last,val_noisy_snr15,,192,,,,,0.7926862949999999,0.2851351569506726,1.0,7.762734810512484e-08,1.0,1.8191072115314455e-07
cnn1d_emb192_noise_snr20,best,test,,192,,,,,0.97250719,0.07879999999999998,0.7019038796424866,0.17067950963974,0.08896351605653763,0.24485479295253754
cnn1d_emb192_noise_snr20,best,test_noisy_snr10,,192,,,,,0.9211164450000001,0.1566,0.5270508527755737,0.19605344533920288,0.08446618914604187,0.23226691782474518
cnn1d_emb192_noise_snr20,best,test_noisy_snr15,,192,,,,,0.9513242199999999,0.11819999999999997,0.6005285382270813,0.18167592585086823,0.08197591453790665,0.23810601234436035
cnn1d_emb192_noise_snr20,best,val,,192,,,,,0.9924039050000001,0.04020000000000001,0.7471717000007629,0.13252176344394684,0.011883970350027084,0.23562848567962646
cnn1d_emb192_noise_snr20,best,val_noisy_snr15,,192,,,,,0.981084015,0.06910000000000002,0.6576137542724609,0.15613436698913574,0.016845278441905975,0.23527736961841583
cnn1d_emb192_noise_snr20,last,test_noisy_snr10,,192,,,,,0.920079275,0.1572,0.49704042077064514,0.21501386165618896,0.04158659651875496,0.22635912895202637
cnn1d_emb192_noise_snr20,last,test_noisy_snr15,,192,,,,,0.9485157099999999,0.1184,0.5737214088439941,0.2024901658296585,0.04467487335205078,0.23252131044864655
cnn1d_emb192_noise_snr20,last,val_noisy_snr15,,192,,,,,0.96879063,0.09630000000000002,0.6499918699264526,0.18074962496757507,0.02692732773721218,0.25386670231819153
cnn1d_emb192_noise_snr25,best,test,,192,,,,,0.9615988499999999,0.0969,0.7880569100379944,0.14247970283031464,0.29088208079338074,0.24965986609458923
cnn1d_emb192_noise_snr25,best,test_noisy_snr10,,192,,,,,0.8501767250000001,0.23040000000000002,0.5916005373001099,0.18914058804512024,0.28630438446998596,0.22375690937042236
cnn1d_emb192_noise_snr25,best,test_noisy_snr15,,192,,,,,0.908491005,0.1714,0.6698163747787476,0.1630081683397293,0.2947748899459839,0.22897839546203613
cnn1d_emb192_noise_snr25,best,val,,192,,,,,0.98706845,0.05389999999999995,0.8132823705673218,0.117282934486866,0.16069838404655457,0.2675222158432007
cnn1d_emb192_noise_snr25,best,val_noisy_snr15,,192,,,,,0.9570666750000001,0.10840000000000002,0.7159175872802734,0.1508731245994568,0.19671913981437683,0.25336265563964844
cnn1d_emb192_noise_snr25,last,test_noisy_snr10,,192,,,,,0.88466734,0.1947,0.48792022466659546,0.21612001955509186,0.09388508647680283,0.23860785365104675
cnn1d_emb192_noise_snr25,last,test_noisy_snr15,,192,,,,,0.9300233400000001,0.14859999999999995,0.5725963711738586,0.19792583584785461,0.09383555501699448,0.244473397731781
cnn1d_emb192_noise_snr25,last,val_noisy_snr15,,192,,,,,0.964401295,0.09970000000000001,0.6409118175506592,0.1833115667104721,0.0512642040848732,0.24865585565567017
cnn1d_emb192_noise_snr5,best,test,,192,,,,,0.919810175,0.1606,0.9988899230957031,0.00031648969161324203,0.9979919195175171,0.0006307951407507062
cnn1d_emb192_noise_snr5,best,test_noisy_snr10,,192,,,,,0.8416407850000001,0.23929999999999996,0.9987656474113464,0.00033575244015082717,0.9981243014335632,0.0005907784798182547
cnn1d_emb192_noise_snr5,best,test_noisy_snr15,,192,,,,,0.880393375,0.1977,0.9988016486167908,0.00032304623164236546,0.9980396628379822,0.0006285444833338261
cnn1d_emb192_noise_snr5,best,val,,192,,,,,0.947866325,0.12375,0.9988513588905334,0.00033997869468294084,0.9975422620773315,0.0008737548487260938
cnn1d_emb192_noise_snr5,best,val_noisy_snr15,,192,,,,,0.9169588049999999,0.16205000000000003,0.9987794756889343,0.00035173643846064806,0.9976629018783569,0.000839157379232347
